Key: start, Timestamp: 1718893385.8175373
Key: d, Timestamp: 1718893386.691709
Key: n, Timestamp: 1718893386.6922204 
Key: m, Timestamp: 1718893386.7005072
Key: h, Timestamp: 1718893386.9136412
Key: j, Timestamp: 1718893386.979154
Key: k, Timestamp: 1718893386.9841537
Key: h, Timestamp: 1718893387.0952187
Key: esc, Timestamp: 1718893387.738065
